fault_bus,fault_type,fault_R_ohm,Va_mag_pu,Va_ang_deg,Vb_mag_pu,Vb_ang_deg,Vc_mag_pu,Vc_ang_deg,Ia_mag_A,Ia_ang_deg,Ib_mag_A,Ib_ang_deg,Ic_mag_A,Ic_ang_deg
318412,SLG,0,0.385784,-84.366,1.334634,-134.9614,1.028363,98.5033,10.362,-67.6166,19.0662,-156.2452,20.618,54.4756
318412,SLG,10,1.203713,-22.491,1.204193,-142.0971,1.197515,97.5258,18.5256,-50.3127,20.0245,-170.2698,18.5516,69.5327
318412,SLG,20,1.20364,-22.4694,1.204254,-142.0998,1.197534,97.5297,18.5256,-50.2975,20.0268,-170.2666,18.5495,69.5366
318412,SLG,30,1.203615,-22.4622,1.204275,-142.1007,1.19754,97.531,18.5257,-50.2924,20.0275,-170.2655,18.5488,69.5379
318412,SLG,40,1.203603,-22.4586,1.204285,-142.1012,1.197543,97.5316,18.5257,-50.2898,20.0279,-170.265,18.5484,69.5386
318412,LL,0,0.340839,-111.3304,0.23578,-166.2367,1.106832,103.4203,11.9385,-110.4154,6.2516,-124.4489,18.0073,65.739
318412,LL,10,1.203675,-22.4988,1.204339,-142.1404,1.197392,97.5313,18.5298,-50.3205,20.0246,-170.3012,18.5473,69.5253
318412,LL,20,1.203621,-22.4733,1.204327,-142.1215,1.197472,97.5325,18.5278,-50.3014,20.0268,-170.2823,18.5474,69.5329
318412,LL,30,1.203603,-22.4648,1.204323,-142.1152,1.197499,97.5328,18.5271,-50.295,20.0275,-170.276,18.5474,69.5354
318412,LL,40,1.203594,-22.4605,1.204321,-142.112,1.197512,97.533,18.5267,-50.2918,20.0279,-170.2728,18.5474,69.5367
318412,3LG,0,0.163953,-98.1239,0.163961,142.1291,0.163371,21.7345,2.7706,-125.9798,2.9972,114.0509,2.775,-6.1824
318412,3LG,10,1.203553,-22.4934,1.204302,-142.1482,1.197538,97.488,18.5255,-50.3279,20.0288,-170.309,18.5472,69.4949
318412,3LG,20,1.20356,-22.4706,1.204309,-142.1254,1.197545,97.5108,18.5256,-50.305,20.0289,-170.2862,18.5473,69.5177
318412,3LG,30,1.203562,-22.463,1.204311,-142.1178,1.197548,97.5184,18.5256,-50.2974,20.0289,-170.2786,18.5473,69.5253
318412,3LG,40,1.203563,-22.4592,1.204312,-142.1139,1.197549,97.5222,18.5257,-50.2936,20.0289,-170.2748,18.5473,69.5291
243937,SLG,0,0.521302,-97.6226,1.765119,-162.3685,1.65599,121.4206,18.1878,-60.6305,20.5387,-176.2805,19.9489,61.5872
243937,SLG,10,1.197568,-22.745,1.208919,-142.2248,1.197476,97.785,18.5102,-50.3936,20.0152,-170.2785,18.5592,69.4916
243937,SLG,20,1.200558,-22.5967,1.206626,-142.1638,1.197507,97.6597,18.5179,-50.3381,20.0221,-170.271,18.5533,69.516
243937,SLG,30,1.201559,-22.5471,1.205857,-142.1434,1.197521,97.6177,18.5205,-50.3195,20.0244,-170.2685,18.5514,69.5241
243937,SLG,40,1.20206,-22.5223,1.205473,-142.1332,1.197528,97.5967,18.5218,-50.3102,20.0255,-170.2672,18.5504,69.5282
243937,LL,0,0.269418,-129.0635,0.264183,-144.1956,1.621777,99.6757,10.1703,-113.4541,10.1183,-119.0831,20.0683,64.5551
243937,LL,10,1.197487,-22.4951,1.20288,-142.5204,1.202041,97.6624,18.5221,-50.4435,19.9922,-170.4047,18.5396,69.4845
