fault_bus,fault_type,fault_R_ohm,Va_mag_pu,Va_ang_deg,Vb_mag_pu,Vb_ang_deg,Vc_mag_pu,Vc_ang_deg,Ia_mag_A,Ia_ang_deg,Ib_mag_A,Ib_ang_deg,Ic_mag_A,Ic_ang_deg
255335,SLG,40,1.115866,-26.1966,1.11437,-143.5869,1.089637,95.2543,8.5261,-53.1096,8.5167,-172.5742,8.5903,67.2123
255335,LL,0,0.679045,-33.0554,0.655613,-158.7664,1.279205,99.1053,7.7962,-66.4655,7.5709,-165.2013,10.0085,65.1458
255335,LL,10,1.053016,-30.7601,1.156475,-148.5727,1.08177,98.5996,8.5865,-55.506,8.3063,-175.3819,8.4657,66.1978
255335,LL,20,1.087363,-27.9723,1.135644,-146.2006,1.087636,96.8468,8.5807,-54.0708,8.4452,-173.9766,8.5259,66.7645
255335,LL,30,1.096079,-26.8988,1.127004,-145.522,1.092409,96.3135,8.572,-53.5521,8.4867,-173.4819,8.5387,66.9786
255335,LL,40,1.099808,-26.3419,1.122513,-145.2065,1.095251,96.0639,8.5661,-53.286,8.5065,-173.2304,8.5436,67.0877
255335,3LG,0,0.68511,-36.4666,0.686035,-156.4035,0.685478,83.6026,7.0723,-64.2854,7.0884,175.7063,7.0795,55.5973
255335,3LG,10,1.093321,-28.228,1.095357,-147.9415,1.090332,91.8768,8.431,-56.0351,8.4508,-176.0407,8.4402,63.8456
255335,3LG,20,1.102525,-26.5032,1.103665,-146.2219,1.099287,93.5526,8.4986,-54.3297,8.519,-174.3309,8.5087,65.5507
255335,3LG,30,1.104877,-25.8901,1.105755,-145.6154,1.101667,94.1489,8.516,-53.725,8.5366,-173.7246,8.5264,66.1554
255335,3LG,40,1.105898,-25.5768,1.106658,-145.3062,1.102722,94.454,8.5236,-53.416,8.5443,-173.4148,8.5341,66.4644
182030,SLG,0,0.643456,-36.6616,1.369603,-147.8871,1.092044,108.6644,8.729,-52.548,9.0889,-170.0736,9.2452,66.7814
182030,SLG,10,1.119982,-30.9185,1.141842,-141.6922,1.043557,95.4515,8.4283,-54.8425,8.3854,-172.7165,8.6756,66.4631
182030,SLG,20,1.120229,-27.7883,1.121963,-142.8788,1.073926,95.2172,8.4998,-53.7338,8.4697,-172.6478,8.6237,66.9812
182030,SLG,30,1.117629,-26.7254,1.1167,-143.3448,1.084412,95.2312,8.5184,-53.3194,8.5012,-172.6028,8.6019,67.138
182030,SLG,40,1.115811,-26.1941,1.114378,-143.5887,1.089663,95.2557,8.526,-53.1083,8.5168,-172.5736,8.5902,67.2124
182030,LL,0,0.693796,-33.0419,0.679681,-159.166,1.274389,99.2613,7.9548,-65.4363,7.7178,-166.8754,9.9243,64.903
182030,LL,10,1.053233,-30.6952,1.155506,-148.55,1.08222,98.5694,8.5852,-55.4877,8.3061,-175.3557,8.4659,66.2128
182030,LL,20,1.087326,-27.9549,1.1354,-146.1987,1.087798,96.8421,8.5802,-54.0659,8.445,-173.9702,8.5257,66.7682
182030,LL,30,1.096048,-26.8911,1.1269,-145.5217,1.092485,96.312,8.5717,-53.5499,8.4866,-173.4791,8.5386,66.9801
182030,LL,40,1.099787,-26.3376,1.122456,-145.2064,1.095294,96.0632,8.5659,-53.2847,8.5064,-173.2288,8.5435,67.0886
182030,3LG,0,0.706238,-36.4472,0.707293,-156.3773,0.706602,83.6274,7.4074,-64.2616,7.4248,175.7296,7.4151,55.6175
182030,3LG,10,1.093186,-28.2028,1.095204,-147.917,1.090203,91.9008,8.4299,-56.0106,8.4497,-176.0161,8.4391,63.8702
182030,3LG,20,1.102473,-26.4967,1.103611,-146.2156,1.09924,93.5589,8.4982,-54.3233,8.5186,-174.3246,8.5083,65.557
182030,3LG,30,1.104851,-25.8872,1.105728,-145.6126,1.101643,94.1517,8.5158,-53.7221,8.5364,-173.7217,8.5262,66.1583
182030,3LG,40,1.105883,-25.5752,1.106642,-145.3046,1.102708,94.4556,8.5235,-53.4144,8.5441,-173.4132,8.534,66.466
182153,SLG,0,0.729274,-37.5989,1.356192,-146.2917,1.059022,107.4752,8.6254,-52.6602,8.9842,-170.6032,9.0823,66.4284
182153,SLG,10,1.12128,-31.7561,1.148968,-141.1808,1.03198,95.5854,8.4398,-54.8767,8.4001,-172.7908,8.684,66.3905
182153,SLG,20,1.124742,-28.2211,1.12296,-142.5182,1.067425,95.0626,8.4913,-53.8922,8.4573,-172.6605,8.6316,66.9178
182153,SLG,30,1.121444,-27.0163,1.116859,-143.0885,1.080079,95.1008,8.515,-53.4339,8.4929,-172.6203,8.6083,67.0999
182153,SLG,40,1.118979,-26.4116,1.11429,-143.3916,1.086436,95.1476,8.5244,-53.1968,8.5106,-172.5902,8.5955,67.1857
182153,LL,0,0.787668,-32.9036,0.777568,-159.7191,1.252454,99.5777,8.8118,-61.3948,8.4066,-173.9333,9.5671,64.3543
182153,LL,10,1.043576,-31.1032,1.161632,-149.1673,1.081643,99.1571,8.5911,-55.6247,8.3079,-175.5262,8.4656,66.0834
182153,LL,20,1.084239,-28.5148,1.142142,-146.3703,1.082726,97.1454,8.5839,-54.2287,8.4327,-174.1628,8.5178,66.6846
182153,LL,30,1.095028,-27.3049,1.131597,-145.5975,1.088348,96.4839,8.5763,-53.6737,8.4792,-173.6178,8.5353,66.9187
182153,LL,40,1.099451,-26.6603,1.125992,-145.2485,1.09195,96.1783,8.5703,-53.3831,8.5012,-173.3367,8.5419,67.0413
182153,3LG,0,0.806895,-36.5728,0.808764,-156.4493,0.806984,83.5353,9.0028,-64.3582,9.0279,175.6292,9.0137,55.4978
182153,3LG,10,1.091348,-28.503,1.09375,-148.2068,1.088392,91.6253,8.4168,-56.2994,8.4365,-176.3048,8.426,63.5824
182153,3LG,20,1.10209,-26.7147,1.103361,-146.4206,1.0987,93.3545,8.4952,-54.5326,8.5156,-174.534,8.5052,65.3483
182153,3LG,30,1.104781,-26.048,1.105714,-145.7636,1.10143,93.9991,8.5151,-53.8769,8.5356,-173.8767,8.5254,66.0038
182153,3LG,40,1.105909,-25.7015,1.106696,-145.4233,1.102614,94.3349,8.5235,-53.5364,8.5441,-173.5353,8.5339,66.3443
182158,SLG,0,0.757561,-37.1889,1.348141,-145.8968,1.052515,106.9196,8.5835,-52.6524,8.9392,-170.7042,9.0232,66.385
182158,SLG,10,1.121347,-32.032,1.151885,-141.0089,1.0279,95.6691,8.4427,-54.8678,8.4052,-172.8011,8.6857,66.3776
182158,SLG,20,1.126548,-28.3595,1.123209,-142.3847,1.065088,94.9989,8.4885,-53.9408,8.4534,-172.6639,8.634,66.898
182158,SLG,30,1.123017,-27.1076,1.116781,-142.993,1.078541,95.0455,8.5142,-53.4699,8.4903,-172.6266,8.6104,67.0887
182158,SLG,40,1.120299,-26.4788,1.11413,-143.3181,1.085303,95.1013,8.5242,-53.2248,8.5087,-172.5964,8.5972,67.1783
182158,LL,0,0.812069,-32.5343,0.80566,-158.9552,1.244138,99.5711,9.0457,-60.2072,8.5958,-175.3274,9.4707,64.5303
182158,LL,10,1.042892,-30.9288,1.160614,-149.4088,1.084011,99.2464,8.605,-55.5886,8.3187,-175.5623,8.4688,66.1022
182158,LL,20,1.083192,-28.7015,1.144739,-146.4233,1.080876,97.2595,8.5855,-54.2721,8.4297,-174.2246,8.5147,66.6594
182158,LL,30,1.094821,-27.4474,1.133433,-145.6132,1.086752,96.5454,8.5782,-53.7085,8.4776,-173.6629,8.5342,66.8991
