Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"S11X_1002001", 0.208, 1,    113.582,  -70.1,   0.94582, 2,    113.707,  170.0,   0.94686, 3,    113.819,   49.9,   0.94779
"S12X_1002001", 0.208, 1,    113.582,  -70.1,   0.94582, 2,    113.707,  170.0,   0.94686, 3,    113.819,   49.9,   0.94779
"S13X_1002001", 0.208, 1,    113.582,  -70.1,   0.94582, 2,    113.707,  170.0,   0.94686, 3,    113.819,   49.9,   0.94779
"S14X_1002001", 0.208, 1,    113.582,  -70.1,   0.94582, 2,    113.707,  170.0,   0.94686, 3,    113.819,   49.9,   0.94779
"S15X_1002001", 0.208, 1,    113.582,  -70.1,   0.94582, 2,    113.707,  170.0,   0.94686, 3,    113.819,   49.9,   0.94779
"S16X_1002001", 0.208, 1,    113.582,  -70.1,   0.94582, 2,    113.707,  170.0,   0.94686, 3,    113.819,   49.9,   0.94779
"S17X_1002001", 0.208, 1,    113.582,  -70.1,   0.94582, 2,    113.707,  170.0,   0.94686, 3,    113.819,   49.9,   0.94779
"S18X_1002001", 0.208, 1,    113.582,  -70.1,   0.94582, 2,    113.707,  170.0,   0.94686, 3,    113.819,   49.9,   0.94779
"X_1000330", 0.4157, 3,    227.521,   80.4,   0.94799, 0, 0, 0, 0, 0, 0, 0, 0
"S1X_1000330", 0.4157, 3,    227.112,   80.4,   0.94628, 0, 0, 0, 0, 0, 0, 0, 0
"S2X_1000330", 0.4157, 3,    227.112,   80.4,   0.94628, 0, 0, 0, 0, 0, 0, 0, 0
"S3X_1000330", 0.4157, 3,    227.112,   80.4,   0.94628, 0, 0, 0, 0, 0, 0, 0, 0
"S4X_1000330", 0.4157, 3,    227.112,   80.4,   0.94628, 0, 0, 0, 0, 0, 0, 0, 0
"S5X_1000330", 0.4157, 3,    227.112,   80.4,   0.94628, 0, 0, 0, 0, 0, 0, 0, 0
"X_1000277", 0.4157, 3,    227.563,   80.5,   0.94816, 0, 0, 0, 0, 0, 0, 0, 0
"S1X_1000277", 0.4157, 3,     226.54,   80.5,    0.9439, 0, 0, 0, 0, 0, 0, 0, 0
"X_1001523", 0.4157, 1,    228.298,  -39.6,   0.95123, 2,    228.989, -159.3,    0.9541, 3,    227.432,   80.5,   0.94762
"S1X_1001523", 0.4157, 1,     228.06,  -39.6,   0.95023, 2,     228.74, -159.3,   0.95307, 3,    227.176,   80.5,   0.94655
"S2X_1001523", 0.4157, 1,     228.06,  -39.6,   0.95023, 2,     228.74, -159.3,   0.95307, 3,    227.176,   80.5,   0.94655
"S3X_1001523", 0.4157, 1,     228.06,  -39.6,   0.95023, 2,     228.74, -159.3,   0.95307, 3,    227.176,   80.5,   0.94655
"S4X_1001523", 0.4157, 1,     228.06,  -39.6,   0.95023, 2,     228.74, -159.3,   0.95307, 3,    227.176,   80.5,   0.94655
"X_1001522", 0.208, 1,    113.682,  -70.2,   0.94665, 2,    113.808,  169.9,   0.94769, 3,    113.908,   49.8,   0.94853
"S1X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S2X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S3X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S4X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S5X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S6X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S7X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S8X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S9X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S10X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S11X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S12X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S13X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
"S14X_1001522", 0.208, 1,    113.549,  -70.2,   0.94554, 2,    113.686,  169.9,   0.94668, 3,    113.791,   49.8,   0.94756
