fault_id,fault_type,fault_bus,zone,impedance_type,r_ground,r_phase,load_level,time_of_day,cap_CP_NR_613,cap_CP_85W_900,converged,RFI1,RFI2,RFI3,RFI4,RFI5,RFI6,RFI7,RFI8,RFI9,RFI10,RFI11,RFI12,RFI13,RFI14,RFI15,RFI16,RFI17,RFI18,RFI19,RFI20,SM_1,SM_2,SM_3,SM_4,SM_5,SM_6,SM_7,SM_8,SM_9,SM_10,SM_11,SM_12,SM_13,SM_14,SM_15,SM_16,SM_17,SM_18,SM_19,SM_20,SM_21,SM_22,SM_23,SM_24,SM_25,SM_26,SM_27,SM_28,SM_29,SM_30,SM_31,SM_32,SM_33,SM_34,SM_35,SM_36,SM_37,SM_38,SM_39,SM_40,SM_41,SM_42,SM_43,SM_44,SM_45,SM_46,SM_47,SM_48,SM_49,SM_50
F0001,SLG_A,152566,5,dry_grass,288.0,,0.2,overnight,False,False,True,1290.9276355042573,1294.5079328132415,1215.825491424967,889.8127402518298,888.5971408530223,9.103574581865292,7.442253381061615,336.7642235429293,197.2748115324916,198.92315043453465,131.03296438071962,64.19463164449861,66.60041544406907,66.95837801560523,9.149760711452602,8.02039368228882,128.98411039007715,60.88826701389793,188.8596483165604,8.636466722504118e-08,1.0214228411606907,1.019065952396628,1.022061506662402,1.0247348439761228,1.0229315317325782,1.0286826587097817,1.0226391969002575,1.0237187634298015,1.0234924170847812,1.021120715454972,1.023842597083927,1.0296166588381386,1.0309518381466192,1.027939273268165,1.0247778700163392,1.0312460271917991,1.0303388817391663,1.0300231568808784,1.0328014612529532,1.0305016801982765,1.0215977430665475,,1.0234626038667698,1.0246120221725992,1.024934189068095,1.0267970225464147,1.0223527434633168,1.025123125970411,,,1.0289255588383397,1.0257727580954787,1.028774257184442,1.0277746487583883,1.0274339273122612,1.0319676499273815,1.021385113062386,1.0242289966541538,1.0216669961824985,1.030874261407808,1.031196608031372,1.0313407251464652,1.032003243932022,1.03388960674448,1.0333979370793434,1.0316613181892127,1.0315501291691542,1.0348656240349925,1.0309724820391588,1.0316079235610067
F0002,LLG_ABG,182149,12,dry_grass,288.0,2.0,0.75,afternoon,False,False,True,2269.820812687741,2248.923703262961,2262.020628763472,2220.6285231672664,2218.4273911043038,30.93472397865475,29.3937501642594,2199.374696916674,2205.466880516057,2220.736757676896,2236.9855570725463,2224.945271369571,70.61814328935054,59.87679232729767,35.58007782738253,30.237183313503508,123.50298803199745,53.51815367746459,170.2239061430037,7.925779235056696e-08,,0.878113399000673,0.8790526359145805,0.9630802311904728,,0.954407086736253,0.804949381688862,0.8005700556284397,0.8013807772777196,0.8013236360250137,0.7474150438187861,,0.9560319083577906,,0.7645515583046587,0.7640638200977444,0.7625268729712706,0.9548945744407972,,0.9537861856247724,0.7978879456075902,0.799174572328206,,0.8099219323174026,0.8102256440114857,0.8110179950345756,0.7793153680794981,0.7825346037505737,0.7828990327747433,0.8155418224684431,0.8163582748476593,0.8145321278055278,0.8138458592652258,0.8145266647372189,0.8161391159214432,0.937582786963808,0.7462357393916315,0.7479745633323109,0.7458532104422342,0.7827348249046461,0.7845868377311572,0.7819564684958386,0.7927032437728878,0.7938057406311996,0.7947028419170652,0.7952421798135051,0.7920989472315353,0.7936256946345854,0.791873068527854,0.793608282259898
F0003,3PH,182019,10,arc,,2.0,0.2,overnight,False,False,True,3002.064611300572,3004.984003073323,3029.881820938393,3285.5554010604383,3285.691106337556,5.500247744437698,4.171487296250714,3610.174569492333,3675.003455532613,3661.578513564782,62.40115896799002,30.689859497474743,31.59016045946329,67.95553528319068,9.514749023704372,4.893094052878232,88.01209170469315,42.78096211926351,128.08445553724576,3.102290953138987e-08,0.8966640666252205,0.8944107925885397,0.8932696995247611,0.8934989169767612,0.895216297903419,0.8955912154588791,0.8511025510131361,0.789902671504131,0.7911705020686244,0.7900996288834008,0.7921472246423719,0.7963114137318399,0.7959577012655964,0.7956714557722854,0.7943278473836779,0.7962587337739238,,0.7945153499602372,0.79612138245452,0.7978367769803381,0.78981401761808,0.7908909671353609,0.7894629441880835,0.7927244274446124,,0.7961086243421975,0.7886735475584841,0.7900705954040088,0.790759025659409,0.7946451595420584,0.7958748500694302,0.794957664794642,,0.7972659222471282,0.7949007371750582,0.7685854043120363,0.7499428052459989,0.7503819084542016,,0.7487657801773933,0.7510227746848616,0.7495750570280799,0.7522093757233403,0.7515968502553528,0.7521436228630323,0.7521386296575584,0.7503263044122965,0.751369798984239,0.7511559199389407,
F0004,3PH,261838,3,arc,,2.0,0.5,morning,False,False,True,5426.259680241506,5413.896287131421,5458.619313329192,696.2619112526497,704.0728506073842,16.256647862565913,13.517882340249203,282.6967781161621,163.59735382075695,166.43825831357154,108.63224420386628,51.84409372261489,56.09050481650049,52.0163347622764,18.053132237035506,14.947064417396936,99.63267760572548,45.101836056360895,143.41751502876443,5.2148007126766796e-08,0.7837699662197982,0.7811352470515418,0.7851284712281372,0.7897973015984653,0.7912194546621604,0.7896534528909717,0.7269457003022276,0.6622304639497717,0.6635432901549314,0.6630728168850708,0.6649583408130554,0.6738918959857673,0.6710716116407816,0.6715996915980554,,0.6748582608938462,0.6740084361298254,0.6718075580409271,,0.6712189244527121,0.6626789490068167,0.6604605053379631,0.6623891263330108,0.6659248669168597,0.6661270589995374,0.6636025474620749,0.6558005504889054,0.6550042135385022,0.6583374168274708,0.6682688281022002,0.6679606573405003,0.6718538968603155,0.6692328942011709,0.668306435078171,0.6690838533130083,0.6243443767423381,0.600597707815181,,0.6008444961076798,,,0.5778764281741985,0.580367487774025,0.5802435727875603,0.5785872570430111,0.579772479061196,,0.5793018242801397,,0.5782661858939405
F0005,SLG_C,182002,9,dry_grass,288.0,,1.0,peak,True,True,True,1008.9974675504832,1015.5790454516912,946.2247861664,669.5562505989227,682.6414062335501,42.5879354740548,36.75785659917584,333.5948486758584,187.8485325712344,194.47113833955655,123.10943090169708,55.367112215791536,65.9176557396842,54.51482693247034,43.01230094761548,39.90576838003633,106.4302683538647,43.35650462481839,137.38180352796496,7.886678459347595e-08,0.9310722602269308,0.9326716257474792,0.9283691529701747,0.9410733988272572,0.9454352803504356,0.9421770198748104,0.9392476518398298,0.9183310487285468,0.9202280090931572,0.9192116979580884,0.9237413715500552,0.9426630367887512,0.9442459098962236,0.9426533829500578,0.9432391234125788,0.9448838719817082,0.9460235645952216,0.9467652848215556,0.9413382967599638,0.9458260240208006,0.9166369572175738,0.9187716030770426,0.9191076329544742,0.9288989700527354,0.9295049325784804,0.929740020521341,0.901037815276568,0.90150415382757,0.9020681536206504,0.9291906098934104,0.9309831957798932,0.930215843713198,0.9284785463716166,,0.9295599704017168,0.939530210507418,0.886281513001793,0.8865294193198984,0.8862041350110403,0.9336922894781922,0.9331876332511408,0.9305356955093952,0.9369297361448616,0.9379243899204024,0.9388023114770372,0.9398000060499048,,0.9389680248447168,0.9405827687156668,0.9398580879748843
F0006,SLG_C,283952,4,dry_grass,288.0,,1.0,peak,True,True,True,1008.3426810735284,1011.9940593281532,942.5830155852144,671.5729142314433,692.0820652967518,42.84451244007195,37.05451110782551,334.9380335834818,189.1079920815355,194.7972678579192,122.49595192331832,55.6593870628602,65.72458398912713,54.580703238469134,43.27907449791268,39.65088341402146,105.76739702480408,42.9476553010438,136.60651200387034,7.913930455889465e-08,0.932799925767286,0.9324272608440164,0.9339848955266415,0.9403416800958716,,0.94184876131527,0.9372595502605924,0.9176663228076044,0.9221242596363358,0.9176587153974364,0.9231189870129818,0.9395283431788252,,0.9424465461497976,0.9416849610996074,0.945997178844882,0.9427698974306168,0.9435574329452524,0.942081840356818,0.9436946722784616,0.9186716271259844,0.9183032887633928,,,0.9283566295587624,0.9258862938809082,0.90007723822303,0.9023094175826576,0.901334971115172,,0.9305044695321782,0.9308683043889476,0.9311243682442788,0.9314379854070562,0.9297625940352128,0.943534328544896,0.8858472379794222,,0.8899659901998458,0.9266408732955588,0.9297140298666664,0.9312531494596704,0.9364803354262063,0.9376312357674867,0.936926346668578,,0.9375817858577402,0.9372097298371264,0.9374837954657468,0.9379287923749005
F0007,SLG_B,181917,5,wet_grass,144.0,,1.0,peak,True,True,True,975.3372243418012,990.2358124465926,917.345452468084,637.8423121010583,661.5657167472009,42.728128406524576,37.00886008598921,334.7264538891871,187.56418630712344,193.4481352629317,122.62692045818396,54.82373613860902,65.6441527007163,54.34786857969534,43.27631233264636,39.55529368422156,105.91669863209016,43.07853562591179,134.60502206794317,7.909333417881449e-08,0.9297191943782548,0.932601026905356,0.9323208890339024,0.9430256424393122,0.940967467006552,0.9396278375602684,0.9405324262463722,0.9173071287615796,0.91920828052159,0.9208113339633986,0.9214531452073496,0.9434196625855872,0.9422566431908675,0.946739576562338,0.94430625270007,0.9438929620936096,0.9444824104928448,0.9450929489563806,0.9416440099890212,0.9440346973736436,0.9165522619217872,0.9180999837061268,0.9209120186734764,0.9293102750595414,0.931793904909239,0.9296096761277652,0.9019380871262844,0.9030579997030044,0.9047136324609408,0.9346855918989724,0.9303327873327452,,0.9308775087710044,0.9336677123405364,0.9361204352278406,0.9406690260421242,0.8898312216119303,0.8912833405133551,0.8882719844476243,0.9295543746636852,0.9291169323108271,0.9327114625323728,0.9396792226965222,0.9388552219635364,,0.9374179431418412,0.9403819850308712,0.940464229298302,0.9368476497487412,
F0008,SLG_B,165479,3,wet_grass,144.0,,0.5,morning,False,False,True,1177.8845085695216,1179.870539319195,1108.241589926073,824.9339680600192,835.8400848122518,22.249083354644902,18.84329198130481,338.0882408670825,193.4913437882098,197.20592282284437,127.6414828918919,60.78793248328021,66.07394470148552,62.34186325850701,22.00249021781137,20.312744161726677,119.59886607926916,53.475738636240365,164.52675930649383,8.406759939954537e-08,0.9871045039702668,0.9866415867640242,0.9834720651940244,0.991975645809168,0.9934654512039546,0.994013979134325,0.9933071796288908,0.9796134311909748,0.9828132522482804,0.9824603376433196,,0.995575736558918,0.995936661301473,0.994217637932846,0.9942506228988806,0.9914532392425924,,0.9962979516119168,0.9950824514322087,0.9960989234063768,0.9825482167860048,0.9816515318690712,0.9821761888164864,0.9878618406191236,0.987923406262822,0.9892212505734994,0.973452968665472,0.97550099347465,0.977623971032778,,0.9878514819266826,0.9940545366867576,,0.9885414324308168,0.9933781329553386,0.9926192732524504,0.9685442805114676,0.9667902380888646,0.972854237539646,0.9922288062394092,0.9909570346266148,0.9932841192172804,0.99619539255371,0.9971428284891336,0.9971260042868668,0.9946908924039024,,0.9963536610619724,0.9974507838144798,0.9958956885783424
F0009,SLG_B,221728,9,dry_grass,288.0,,0.2,overnight,False,False,True,1282.4470355434134,1272.6586967253502,1207.459763487528,874.919177187074,887.4716968786255,9.124222681547492,7.373723255680051,332.44122637329787,196.40026963423364,198.506044582462,129.52337922420173,64.29962683641432,66.64477505464397,66.92782694745247,9.163662289378705,8.08219992694971,127.7829822284409,61.3423928719421,186.88178366814304,8.65465969528522e-08,1.021920044360642,1.0221893813490144,,1.0225604701978328,1.0225939469085117,1.0246140857435544,1.0241683402717998,1.021511130709719,1.0268769331192205,1.0227047395637738,1.025173684130778,1.0276401766163763,1.0303431539462238,1.030507356292996,,1.0270541777451132,1.0286462486414396,1.0292221359954408,1.029424095755934,1.028554013472003,1.025955887614588,,,1.0260318990636248,1.0269552185805992,1.0259198771842937,1.0216123499193557,,,,1.0287703919665223,,1.0295152727746608,1.0296790976245678,1.027951829042388,1.0343566686117185,1.021912533120867,1.0240361139241352,1.022996532139726,1.0304920251045788,1.0317285958180689,1.0321801601360503,1.0339014702675895,1.0356643626959572,1.033032272115318,,1.035197793157036,1.0353586163486264,1.0366681425099122,1.0319602480478542
F0010,LLG_ACG,181969,6,wet_grass,144.0,2.0,0.2,overnight,False,False,True,3491.685750887399,3473.125708187395,3490.924977099762,3562.949080546763,3583.6031818141123,3770.799294444053,8.746859932416916,364.4316987765553,213.92872134523847,215.6296993865562,140.73414926396998,69.61525465244975,72.35598435747058,68.08615484031405,10.195278304689795,9.322624645710224,138.29365963767205,65.32068271351511,202.1267887009058,8.682113767874612e-08,0.8988023297344178,0.897159899223133,0.8950434415178737,0.8397305331199286,1.0199246519205616,1.03617512325607,1.022519482777947,0.8176573446146984,,0.8124472902230642,1.021111625254654,0.7023114456317184,0.7022939441403377,0.7030453048183589,1.027209244816549,1.0271381009280576,1.0211581763865891,1.0385217163476292,1.0422223632861158,1.0362462599377462,0.8154774811398998,,0.8162216903030566,0.817191520138769,0.8178539436800434,0.8161644296483639,,0.8133550094557241,0.8163780119782947,0.8175103796833978,0.8198740624130237,0.8180410568461491,0.8193361799590688,,0.8185011906348533,0.6775776657574721,0.7745944630392627,0.7767133339741614,0.7763364004207057,,0.7902463189528328,0.7894903040818583,0.7882599987045786,0.7909703602276383,0.7893252148637656,0.7898073795466292,0.7892857837601077,0.7912862737389623,0.7905663055230184,0.7880421686536048
