scenario_id,scenario_label,n_dg_buses,fault_id,zone,fault_type,fault_line,fault_bus,converged,RFI1,RFI2,RFI3,RFI4,RFI5,RFI6,RFI7,RFI8,RFI9,RFI10,RFI11,RFI12,RFI13,RFI14,RFI15,RFI16,RFI17,RFI18,RFI19,RFI20
8,DG_16pct,32,Z01_F01,1,SLG_B,335,CKT7,True,2296.6511838631714,2137.625118255504,2058.047318268567,1400.2345764604404,1021.2136899100046,148.85864012403303,14.721524233537249,461.1987088023919,466.29205768891734,148.34601967979344,149.59547879348997,72.322340783365,4.559792274045812,11.56716986246305,17.392395370189924,148.88519736984844,219.8241877263024,143.25016065417083,122.57597111125976,80.78602376556167
8,DG_16pct,32,Z01_F02,1,SLG_B,326,CKT7,True,2296.6511838631714,2137.625118255504,2058.047318268567,1400.2345764604404,1021.2136899100046,148.85864012403303,14.721524233537249,461.1987088023919,466.29205768891734,148.34601967979344,149.59547879348997,72.322340783365,4.559792274045812,11.56716986246305,17.392395370189924,148.88519736984844,219.8241877263024,143.25016065417083,122.57597111125976,80.78602376556167
8,DG_16pct,32,Z01_F03,1,SLG_C,333,CKT7,True,2304.0431913042,2144.87218143266,2065.209148484827,1407.1311607004232,1036.797678043122,147.83284425411645,14.739351972492234,465.4809494396139,470.45072465656733,150.45395030154546,151.69806040296461,73.35359952004212,4.608181855245337,11.568340300555379,17.320583883522154,149.93219356238833,219.0052545581991,142.0954816633428,123.14531370780215,80.95324593621973
8,DG_16pct,32,Z01_F04,1,SLG_C,326,CKT7,True,2304.0431913042,2144.87218143266,2065.209148484827,1407.1311607004232,1036.797678043122,147.83284425411645,14.739351972492234,465.4809494396139,470.45072465656733,150.45395030154546,151.69806040296461,73.35359952004212,4.608181855245337,11.568340300555379,17.320583883522154,149.93219356238833,219.0052545581991,142.0954816633428,123.14531370780215,80.95324593621973
8,DG_16pct,32,Z01_F05,1,LL_AB,335,CKT7,True,178.9531142418352,148.1651250742608,136.4898594348601,79.02014958331046,53.648009636553475,8.231710063404671,0.8123615372311834,23.543918094111834,24.307461898779998,7.653687233260851,7.710076362667374,3.6929647753894463,0.2565548627780106,0.6213751208850138,0.9295257327265561,8.216416407799764,11.63425291854059,7.6267904240707285,6.90979304573371,4.1918170110163375
8,DG_16pct,32,Z01_F06,1,LL_BC,335,CKT7,True,178.9533350079015,148.15836495128931,136.47993842706452,79.04718876525118,54.02446307906471,8.179386304518145,0.8133660747489924,23.663119710614446,24.419254450683866,7.77294297514884,7.8248668371039685,3.784980505776111,0.25670020819514155,0.6215344236770198,0.9230440670312233,8.21690534125394,11.568199686607505,7.562563027628775,6.903082874002724,4.1878975908419545
8,DG_16pct,32,Z01_F07,1,LL_CA,215299,318412,True,179.40103881215796,148.66540121833543,137.03821902806362,79.89174841108617,54.71482665221347,8.20229318441073,0.8146566798316134,23.439047509738636,24.220756048684876,7.590689820117851,7.6443493962547455,3.780904059474293,0.25989598104531414,0.6217959023934896,0.927267115822391,8.186346026654034,11.46286071864567,7.465093306650242,6.901184006124588,4.185610007772536
8,DG_16pct,32,Z01_F08,1,LL_AB,326,CKT7,True,178.9531142418352,148.1651250742608,136.4898594348601,79.02014958331046,53.648009636553475,8.231710063404671,0.8123615372311834,23.543918094111834,24.307461898779998,7.653687233260851,7.710076362667374,3.6929647753894463,0.2565548627780106,0.6213751208850138,0.9295257327265561,8.216416407799764,11.63425291854059,7.6267904240707285,6.90979304573371,4.1918170110163375
8,DG_16pct,32,Z01_F09,1,3PH,333,CKT7,True,0.8519834194283364,0.798192165940541,0.7710961366267499,0.5339924601591698,0.3953776644581434,0.055124332022922155,0.005459233118982257,0.1739805578563856,0.17584030430144473,0.05637059416967718,0.056761744523070666,0.02742680156166238,0.0017393799909232537,0.004164019777688361,0.0061552121429355585,0.05564170768130687,0.08283287632773799,0.05427875595836468,0.04639752944772027,0.03021426780866603
8,DG_16pct,32,Z01_F10,1,3PH,326,CKT7,True,0.8519834194283364,0.798192165940541,0.7710961366267499,0.5339924601591698,0.3953776644581434,0.055124332022922155,0.005459233118982257,0.1739805578563856,0.17584030430144473,0.05637059416967718,0.056761744523070666,0.02742680156166238,0.0017393799909232537,0.004164019777688361,0.0061552121429355585,0.05564170768130687,0.08283287632773799,0.05427875595836468,0.04639752944772027,0.03021426780866603
8,DG_16pct,32,Z01_F11,1,3PH,326,CKT7,True,0.8519834194283364,0.798192165940541,0.7710961366267499,0.5339924601591698,0.3953776644581434,0.055124332022922155,0.005459233118982257,0.1739805578563856,0.17584030430144473,0.05637059416967718,0.056761744523070666,0.02742680156166238,0.0017393799909232537,0.004164019777688361,0.0061552121429355585,0.05564170768130687,0.08283287632773799,0.05427875595836468,0.04639752944772027,0.03021426780866603
8,DG_16pct,32,Z01_F12,1,3PH,335,CKT7,True,0.8519834194283364,0.798192165940541,0.7710961366267499,0.5339924601591698,0.3953776644581434,0.055124332022922155,0.005459233118982257,0.1739805578563856,0.17584030430144473,0.05637059416967718,0.056761744523070666,0.02742680156166238,0.0017393799909232537,0.004164019777688361,0.0061552121429355585,0.05564170768130687,0.08283287632773799,0.05427875595836468,0.04639752944772027,0.03021426780866603
8,DG_16pct,32,Z02_F01,2,SLG_B,254077,253842,True,29582.904086712173,2233.778952688203,2132.8529010698194,1391.8003468714087,988.5438009878417,150.24902459045705,16.265831425104288,443.0921842936364,449.60137638223,141.84770521599634,143.04082849999918,68.72134715580464,5.099631774828159,12.655237477523954,18.656638319585642,150.3435101693899,212.0149379923582,137.56226778849614,118.97171436282882,77.71100668866933
8,DG_16pct,32,Z02_F02,2,SLG_B,246178,243936,True,27140.44435983248,2445.3316018533983,2308.32544463088,1432.8232495941945,988.6094659626691,155.13515354454057,17.387876427691516,432.6549699221498,434.66075773150976,134.81394591856457,136.2081874729935,65.06113786726931,5.462098308774874,13.591175416518567,19.978965681396016,155.2639678541789,210.6487010376824,136.71745306411785,118.74125830199435,75.70907570266601
8,DG_16pct,32,Z02_F03,2,SLG_C,150394,157345,True,19513.857421644017,2860.662216523214,2686.65085407121,1629.1363298288563,1111.6626460237776,174.2678182446309,16.87658243946094,475.3895692491183,480.0055807156349,150.64106189761503,151.99735731034872,73.4129222119023,5.326856335718961,13.170311087197755,19.439387347950763,176.6043229194553,232.04344071421573,150.05023334810951,135.3021539397964,82.84566733127609
8,DG_16pct,32,Z02_F04,2,SLG_C,246177,202181,True,21674.597915176404,2915.178418900734,2732.2988461791833,1640.897630696949,1112.7672244217235,175.72490001208675,16.808564857558117,473.0743520729749,477.54472563100643,149.73371211381462,151.0615345733459,72.96328794426627,5.3128002720553855,13.101917515746717,19.347428832806134,178.03685588790415,231.95031256864925,150.0556888813882,135.46302766898182,82.42099545808027
8,DG_16pct,32,Z02_F05,2,LL_AB,246178,243936,True,32233.627935140663,1951.672493145117,1794.012152672839,1016.9517372766511,674.618455935565,106.9944511460113,9.894455933353576,292.82310282860954,302.7948648355948,94.56742639998676,95.34994524234955,45.5768377348039,3.2443530543025116,7.576147631733146,11.526522770126075,106.80852474271013,146.13394694204592,95.50923644798571,88.25970203986093,52.349164507756946
8,DG_16pct,32,Z02_F06,2,LL_BC,157109,165442,True,23867.862684518335,1968.564677222396,1802.1376349581378,1001.6112191689205,660.744855614689,104.69583366761336,9.621331790722166,284.341547964855,294.5271800060175,93.10063518288845,93.78084191723349,45.36948588292309,3.077433518440949,7.358051794982813,11.103202853222681,105.15774068382511,141.17737190720015,92.05952946862925,86.35142891539978,50.55509765060518
8,DG_16pct,32,Z02_F07,2,LL_CA,298361,298159,True,15910.42316655237,2402.993767996441,2175.5783563340888,1139.5609117249946,717.8762366352777,119.34863883190809,10.565249500671138,294.8838021723821,308.5184385693606,95.12804136891705,95.85127250112384,47.465050155102425,3.5128315567900548,7.863479107740648,12.045359169974574,119.07900089740708,150.32908664025314,97.7744209932411,95.61328051707237,53.41996702750317
8,DG_16pct,32,Z02_F08,2,LL_AB,254077,253842,True,35813.23552702185,1318.7505994716334,1213.540039662706,694.8887642715229,466.310565834172,72.60281190067177,6.883908870665142,202.3482776142644,209.08398528184065,65.70396328207183,66.17729858419219,31.712012202399556,2.1740309496439374,5.265499755748097,7.879660897992645,72.47310155717607,100.85478722016174,66.12655233320746,60.294512705084244,36.04718316522911
8,DG_16pct,32,Z02_F09,2,3PH,298361,298159,True,15032.217326955426,0.5458209400991705,0.527288250386862,0.36514128482595865,0.2703524698231465,0.03769202207700073,0.0037327569103436657,0.11902585795667345,0.1202978438731306,0.03856503536908421,0.03883264381140723,0.018763601972053803,0.0011893023312819922,0.002847150861036805,0.004208740962249411,0.03806442762468195,0.05663809886445339,0.03711383750750739,0.031741021689284304,0.02067053313969505
8,DG_16pct,32,Z02_F10,2,3PH,150394,157345,True,17719.241154980053,121.92561312782968,117.78641105304588,81.56768604286484,60.39390709970734,8.420533748463821,0.833886509315475,26.58138571913723,26.865504181984704,8.612509036676975,8.672271076167267,4.190368524381954,0.26568660569132785,0.6360451515317985,0.9402416639262144,8.501011596840263,12.653150151451136,8.291360986927234,7.088712258669732,4.616243439049147
8,DG_16pct,32,Z02_F11,2,3PH,239739,243937,True,20446.295095453464,0.741831903057501,0.7166493734054953,0.4962878851551908,0.36746066929145504,0.05123409799866075,0.0050737439076753215,0.16171340895563194,0.1634420139039104,0.052396005744114384,0.05275957913436797,0.025492987087781607,0.001616558089917552,0.0038699879305227683,0.005720765331582548,0.051717963701923594,0.07698679412404678,0.050447936382721235,0.043125867999401706,0.028083896920586077
