Element, Terminal, P(kW), Q(kvar),  P_Normal, Q_Normal, P_Emergency, Q_Emergency
"Transformer.SUB1"      ,   1,     25328.4,      8034.3,         0.0,         0.0,         0.0,         0.0
"Transformer.SUB1"      ,   2,    -25327.3,     -7920.0
"Transformer.SUB2"      ,   1,     25328.4,      8034.3,         0.0,         0.0,         0.0,         0.0
"Transformer.SUB2"      ,   2,    -25327.3,     -7920.0
"Transformer.SUB3"      ,   1,     25328.4,      8034.3,         0.0,         0.0,         0.0,         0.0
"Transformer.SUB3"      ,   2,    -25327.3,     -7920.0
"Line.326"              ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.326"              ,   2,        -0.0,        -0.0
"Line.333"              ,   1,      4974.8,       421.0,         0.0,         0.0,         0.0,         0.0
"Line.333"              ,   2,     -4974.8,      -421.0
"Line.335"              ,   1,         0.0,         0.0,         0.0,         0.0,         0.0,         0.0
"Line.335"              ,   2,        -0.0,        -0.0
"Line.150394"           ,   1,       -48.3,       -23.1,         0.0,         0.0,         0.0,         0.0
"Line.150394"           ,   2,        48.3,        23.1
"Line.157109"           ,   1,      5397.4,       374.6,         0.0,         0.0,         0.0,         0.0
"Line.157109"           ,   2,     -5392.8,      -357.7
"Line.157115"           ,   1,      5377.2,       345.2,         0.0,         0.0,         0.0,         0.0
"Line.157115"           ,   2,     -5370.6,      -321.1
"Line.157116"           ,   1,         0.1,         0.3,         0.0,         0.0,         0.0,         0.0
"Line.157116"           ,   2,        -0.1,        -0.3
"Line.157118"           ,   1,       401.8,       190.8,         0.0,         0.0,         0.0,         0.0
"Line.157118"           ,   2,      -401.8,      -190.7
"Line.157119"           ,   1,      5361.8,       315.1,         0.0,         0.0,         0.0,         0.0
"Line.157119"           ,   2,     -5360.1,      -308.8
"Line.157120"           ,   1,       377.4,       179.2,         0.0,         0.0,         0.0,         0.0
"Line.157120"           ,   2,      -377.4,      -179.2
"Line.157121"           ,   1,       -96.3,       -45.3,         0.0,         0.0,         0.0,         0.0
"Line.157121"           ,   2,        96.3,        45.3
"Line.157122"           ,   1,       256.6,       122.3,         0.0,         0.0,         0.0,         0.0
"Line.157122"           ,   2,      -256.6,      -122.3
"Line.157123"           ,   1,        96.3,        45.3,         0.0,         0.0,         0.0,         0.0
