SmartMeter_ID,Load_Name,Bus1,Base_Bus,Phases,kV,kW,pf,xfkVA
SM_68,1000042-DA7,S7X_1000042.1,S7X_1000042,1,0.24,0.0001,0.9,14.28571
SM_69,1000077-DA1,S1X_1000077.1,S1X_1000077,1,0.24,0.0001,0.9,8.333333
SM_70,1000077-DA2,S2X_1000077.1,S2X_1000077,1,0.24,0.0001,0.9,8.333333
SM_71,1000077-DA3,S3X_1000077.1,S3X_1000077,1,0.24,0.0001,0.9,8.333333
SM_72,1000077-DA4,S4X_1000077.1,S4X_1000077,1,0.24,0.0001,0.9,8.333333
SM_73,1000077-DA5,S5X_1000077.1,S5X_1000077,1,0.24,0.0001,0.9,8.333333
SM_74,1000077-DA6,S6X_1000077.1,S6X_1000077,1,0.24,0.0001,0.9,8.333333
SM_75,1000474-DA1,S1X_1000474.1,S1X_1000474,1,0.24,0.0001,0.9,10
SM_76,1000474-DA2,S2X_1000474.1,S2X_1000474,1,0.24,0.0001,0.9,10
SM_77,1000474-DA3,S3X_1000474.1,S3X_1000474,1,0.24,0.0001,0.9,10
SM_78,1000474-DA4,S4X_1000474.1,S4X_1000474,1,0.24,0.0001,0.9,10
SM_79,1000474-DA5,S5X_1000474.1,S5X_1000474,1,0.24,0.0001,0.9,10
SM_80,1000043-DA1,S1X_1000043.1,S1X_1000043,1,0.24,0.0001,0.9,8.333333
SM_81,1000043-DA2,S2X_1000043.1,S2X_1000043,1,0.24,0.0001,0.9,8.333333
SM_82,1000043-DA3,S3X_1000043.1,S3X_1000043,1,0.24,0.0001,0.9,8.333333
SM_83,1000043-DA4,S4X_1000043.1,S4X_1000043,1,0.24,0.0001,0.9,8.333333
SM_84,1000043-DA5,S5X_1000043.1,S5X_1000043,1,0.24,0.0001,0.9,8.333333
SM_85,1000043-DA6,S6X_1000043.1,S6X_1000043,1,0.24,0.0001,0.9,8.333333
SM_86,1001567-D1,S1X_1001567,S1X_1001567,3,0.208,0.0001,0.9,50
SM_87,1001567-D2,S2X_1001567,S2X_1001567,3,0.208,0.0001,0.9,50
SM_88,1001567-D3,S3X_1001567,S3X_1001567,3,0.208,0.0001,0.9,50
SM_89,1000233-DB1,S1X_1000233.2,S1X_1000233,1,0.24,0.0001,0.9,37
SM_90,1000569-D1,S1X_1000569,S1X_1000569,3,0.208,0.0001,0.9,100
SM_91,1000569-D2,S2X_1000569,S2X_1000569,3,0.208,0.0001,0.9,100
SM_92,1000569-D3,S3X_1000569,S3X_1000569,3,0.208,0.0001,0.9,100
SM_93,1000746-D1,S1X_1000746,S1X_1000746,3,0.208,0.0001,0.9,100
SM_94,1000746-D2,S2X_1000746,S2X_1000746,3,0.208,0.0001,0.9,100
SM_95,1000746-D3,S3X_1000746,S3X_1000746,3,0.208,0.0001,0.9,100
SM_96,1000608-DA1,S1X_1000608.1,S1X_1000608,1,0.24,0.0001,0.9,9.375
SM_97,1000608-DA2,S2X_1000608.1,S2X_1000608,1,0.24,0.0001,0.9,9.375
SM_98,1000608-DA3,S3X_1000608.1,S3X_1000608,1,0.24,0.0001,0.9,9.375
SM_99,1000608-DA4,S4X_1000608.1,S4X_1000608,1,0.24,0.0001,0.9,9.375
SM_100,1000608-DA5,S5X_1000608.1,S5X_1000608,1,0.24,0.0001,0.9,9.375
SM_101,1000608-DA6,S6X_1000608.1,S6X_1000608,1,0.24,0.0001,0.9,9.375
SM_102,1000608-DA7,S7X_1000608.1,S7X_1000608,1,0.24,0.0001,0.9,9.375
SM_103,1000608-DA8,S8X_1000608.1,S8X_1000608,1,0.24,0.0001,0.9,9.375
SM_104,1000609-DA1,S1X_1000609.1,S1X_1000609,1,0.24,0.0001,0.9,4.545455
SM_105,1000609-DA2,S2X_1000609.1,S2X_1000609,1,0.24,0.0001,0.9,4.545455
SM_106,1000609-DA3,S3X_1000609.1,S3X_1000609,1,0.24,0.0001,0.9,4.545455
SM_107,1000609-DA4,S4X_1000609.1,S4X_1000609,1,0.24,0.0001,0.9,4.545455
SM_108,1000609-DA5,S5X_1000609.1,S5X_1000609,1,0.24,0.0001,0.9,4.545455
SM_109,1000609-DA6,S6X_1000609.1,S6X_1000609,1,0.24,0.0001,0.9,4.545455
SM_110,1000609-DA7,S7X_1000609.1,S7X_1000609,1,0.24,0.0001,0.9,4.545455
SM_111,1000609-DA8,S8X_1000609.1,S8X_1000609,1,0.24,0.0001,0.9,4.545455
SM_112,1000609-DA9,S9X_1000609.1,S9X_1000609,1,0.24,0.0001,0.9,4.545455
SM_113,1000609-DA10,S10X_1000609.1,S10X_1000609,1,0.24,0.0001,0.9,4.545455
SM_114,1000609-DA11,S11X_1000609.1,S11X_1000609,1,0.24,0.0001,0.9,4.545455
SM_115,1000610-DA1,S1X_1000610.1,S1X_1000610,1,0.24,0.0001,0.9,9.090909
SM_116,1000610-DA2,S2X_1000610.1,S2X_1000610,1,0.24,0.0001,0.9,9.090909
SM_117,1000610-DA3,S3X_1000610.1,S3X_1000610,1,0.24,0.0001,0.9,9.090909
SM_118,1000610-DA4,S4X_1000610.1,S4X_1000610,1,0.24,0.0001,0.9,9.090909
SM_119,1000610-DA5,S5X_1000610.1,S5X_1000610,1,0.24,0.0001,0.9,9.090909
SM_120,1000610-DA6,S6X_1000610.1,S6X_1000610,1,0.24,0.0001,0.9,9.090909
SM_121,1000610-DA7,S7X_1000610.1,S7X_1000610,1,0.24,0.0001,0.9,9.090909
SM_122,1000610-DA8,S8X_1000610.1,S8X_1000610,1,0.24,0.0001,0.9,9.090909
SM_123,1000610-DA9,S9X_1000610.1,S9X_1000610,1,0.24,0.0001,0.9,9.090909
SM_124,1000610-DA10,S10X_1000610.1,S10X_1000610,1,0.24,0.0001,0.9,9.090909
SM_125,1000610-DA11,S11X_1000610.1,S11X_1000610,1,0.24,0.0001,0.9,9.090909
SM_126,1000611-DA1,S1X_1000611.1,S1X_1000611,1,0.24,0.0001,0.9,10
SM_127,1000611-DA2,S2X_1000611.1,S2X_1000611,1,0.24,0.0001,0.9,10
SM_128,1000611-DA3,S3X_1000611.1,S3X_1000611,1,0.24,0.0001,0.9,10
SM_129,1000611-DA4,S4X_1000611.1,S4X_1000611,1,0.24,0.0001,0.9,10
SM_130,1000611-DA5,S5X_1000611.1,S5X_1000611,1,0.24,0.0001,0.9,10
SM_131,1000612-DA1,S1X_1000612.1,S1X_1000612,1,0.24,0.0001,0.9,12.5
SM_132,1000612-DA2,S2X_1000612.1,S2X_1000612,1,0.24,0.0001,0.9,12.5
SM_133,1000612-DA3,S3X_1000612.1,S3X_1000612,1,0.24,0.0001,0.9,12.5
SM_134,1000612-DA4,S4X_1000612.1,S4X_1000612,1,0.24,0.0001,0.9,12.5
SM_135,1000612-DA5,S5X_1000612.1,S5X_1000612,1,0.24,0.0001,0.9,12.5
SM_136,1000612-DA6,S6X_1000612.1,S6X_1000612,1,0.24,0.0001,0.9,12.5
SM_137,1000612-DA7,S7X_1000612.1,S7X_1000612,1,0.24,0.0001,0.9,12.5
SM_138,1000612-DA8,S8X_1000612.1,S8X_1000612,1,0.24,0.0001,0.9,12.5
SM_139,1000598-DC1,S1X_1000598.3,S1X_1000598,1,0.24,0.0001,0.9,8.333333
SM_140,1000598-DC2,S2X_1000598.3,S2X_1000598,1,0.24,0.0001,0.9,8.333333
SM_141,1000598-DC3,S3X_1000598.3,S3X_1000598,1,0.24,0.0001,0.9,8.333333
SM_142,1000598-DC4,S4X_1000598.3,S4X_1000598,1,0.24,0.0001,0.9,8.333333
SM_143,1000598-DC5,S5X_1000598.3,S5X_1000598,1,0.24,0.0001,0.9,8.333333
SM_144,1000598-DC6,S6X_1000598.3,S6X_1000598,1,0.24,0.0001,0.9,8.333333
SM_145,1000598-DC7,S7X_1000598.3,S7X_1000598,1,0.24,0.0001,0.9,8.333333
SM_146,1000598-DC8,S8X_1000598.3,S8X_1000598,1,0.24,0.0001,0.9,8.333333
SM_147,1000598-DC9,S9X_1000598.3,S9X_1000598,1,0.24,0.0001,0.9,8.333333
SM_148,1000599-DC1,S1X_1000599.3,S1X_1000599,1,0.24,0.0001,0.9,6.818182
SM_149,1000599-DC2,S2X_1000599.3,S2X_1000599,1,0.24,0.0001,0.9,6.818182
SM_150,1000599-DC3,S3X_1000599.3,S3X_1000599,1,0.24,0.0001,0.9,6.818182
SM_151,1000599-DC4,S4X_1000599.3,S4X_1000599,1,0.24,0.0001,0.9,6.818182
SM_152,1000599-DC5,S5X_1000599.3,S5X_1000599,1,0.24,0.0001,0.9,6.818182
SM_153,1000599-DC6,S6X_1000599.3,S6X_1000599,1,0.24,0.0001,0.9,6.818182
SM_154,1000599-DC7,S7X_1000599.3,S7X_1000599,1,0.24,0.0001,0.9,6.818182
SM_155,1000599-DC8,S8X_1000599.3,S8X_1000599,1,0.24,0.0001,0.9,6.818182
SM_156,1000599-DC9,S9X_1000599.3,S9X_1000599,1,0.24,0.0001,0.9,6.818182
SM_157,1000599-DC10,S10X_1000599.3,S10X_1000599,1,0.24,0.0001,0.9,6.818182
SM_158,1000599-DC11,S11X_1000599.3,S11X_1000599,1,0.24,0.0001,0.9,6.818182
SM_159,1000600-DC1,S1X_1000600.3,S1X_1000600,1,0.24,0.0001,0.9,5.555555
SM_160,1000600-DC2,S2X_1000600.3,S2X_1000600,1,0.24,0.0001,0.9,5.555555
SM_161,1000600-DC3,S3X_1000600.3,S3X_1000600,1,0.24,0.0001,0.9,5.555555
SM_162,1000600-DC4,S4X_1000600.3,S4X_1000600,1,0.24,0.0001,0.9,5.555555
SM_163,1000600-DC5,S5X_1000600.3,S5X_1000600,1,0.24,0.0001,0.9,5.555555
