sample_id,load_level,time_of_day,cap_CP_NR_613,cap_CP_85W_900,converged,RFI1_A,RFI1_B,RFI1_C,RFI2_A,RFI2_B,RFI2_C,RFI3_A,RFI3_B,RFI3_C,RFI4_A,RFI4_B,RFI4_C,RFI5_A,RFI5_B,RFI5_C,RFI6_A,RFI6_B,RFI6_C,RFI7_A,RFI7_B,RFI7_C,RFI8_A,RFI8_B,RFI8_C,RFI9_A,RFI9_B,RFI9_C,RFI10_A,RFI10_B,RFI10_C,RFI11_A,RFI11_B,RFI11_C,RFI12_A,RFI12_B,RFI12_C,RFI13_A,RFI13_B,RFI13_C,RFI14_A,RFI14_B,RFI14_C,RFI15_A,RFI15_B,RFI15_C,RFI16_A,RFI16_B,RFI16_C,RFI17_A,RFI17_B,RFI17_C,RFI18_A,RFI18_B,RFI18_C,RFI19_A,RFI19_B,RFI19_C,RFI20_A,RFI20_B,RFI20_C
N0001,1.0,peak,True,True,True,968.9999723393602,1020.2738576910087,1000.2648302921255,827.8045164188071,878.2653409245119,855.3365268271126,828.6174589510073,884.4179492941938,853.1399006089072,408.9005181327859,464.8556448472828,425.8835668030297,369.4258269776762,406.68422952065606,370.7525281031298,117.50165534462757,119.30378989327419,122.42182115583822,36.459522685662854,36.67754654627384,36.60133399669218,185.21712084689742,173.3462849134373,180.0214557267443,190.16449194970434,178.9948353787892,184.75311476196137,119.85513869522167,111.82080164000946,116.64177854430044,123.22347342327409,114.33019506278323,118.58663219107835,24.989888247632226,25.15886860553356,30.541000231645576,11.015249896369102,11.1050579736275,11.095844115356122,29.532035074877395,29.468394069069614,29.46582217651952,118.32699554008491,117.45672279177269,119.52451033483902,47.70554183972473,45.75643022487666,48.49842858669354,63.565843606032196,67.69040515399726,55.39917768776882,53.024124415416544,57.16018222154146,44.5439222109078,76.0633550525758,79.04821145257097,77.8253220205071,7.80834857887535e-08,7.838159142397815e-08,7.680400930885966e-08
N0002,0.2,overnight,False,False,True,1293.0585683367271,1301.096978479472,1305.9261479261093,1150.637139308767,1164.0508002762292,1159.7247804357285,1147.6612017214115,1168.3448280207904,1162.790132862794,676.0826654247031,689.9619294589043,685.5895918121138,613.6801625353464,626.4010830981285,616.252394631933,131.59942287093426,131.4443122435101,132.49928126120068,7.857082001643155,7.509761355074072,7.683393725205079,198.59770978249864,196.8035140886609,197.8320710203358,198.06674302482102,196.13342936993254,197.7316145412799,131.3005885899512,128.54794390057987,130.16625987177233,132.24569222168694,129.7894192839988,130.7082121233159,5.06992355904054,5.121246793458315,6.258066572809087,2.2575330696878093,2.317346686509439,2.2594595601145984,6.242538748586486,6.266897961712732,6.2496512930978625,135.0130080956551,135.3632624745967,135.75153075984036,63.3083023334831,62.68724051216223,63.385840750639,13.089440198328674,13.982073680697575,11.410388900467584,10.79144352360127,11.782271997614632,9.071932145937744,50.33467650169807,50.24767990734144,50.553925393961485,8.586874230631987e-08,8.639457804338404e-08,8.512053249335293e-08
N0003,0.2,overnight,False,False,True,1290.9311559550838,1301.4568250080933,1301.4761382993825,1155.154341615048,1167.6200740769311,1153.7539037218326,1152.3515226406926,1160.7586920351616,1158.89422110579,677.2518858631556,688.8321808003572,683.4733122846571,611.6442018918317,623.015319684658,617.0292477530318,131.90076931972868,132.07526178804798,131.17605743972067,7.818545722006752,7.555894717119773,7.673675973157083,198.56120111931986,196.88963211455632,198.0717001906636,197.40665950929892,195.5134635178428,197.16035258252793,130.71955138052215,129.40350722792698,130.52107498925523,132.46130319422832,129.22737102806695,131.11929903295072,5.103641930875582,5.1536322298165285,6.229929272050752,2.2617910212129075,2.314017718632116,2.2657347282749645,6.288600866482482,6.2699465491276705,6.289386409235375,135.3769481001468,135.65445612917622,135.80179173455633,63.12523853442159,63.12226903078667,63.71930994469474,12.984725625955274,13.991817228692632,11.354200086202207,10.797489233386393,11.738698554874688,9.102709323672409,50.4278467624419,50.39284578170222,50.615356235550856,8.572090583858472e-08,8.58780147270587e-08,8.454824160892036e-08
N0004,0.75,afternoon,False,True,True,1076.3713028780237,1109.8041683021147,1094.7164416431988,928.2554196367287,968.5780948050744,953.0207719600795,934.3719411952666,966.4330065094892,948.5327733604194,495.9270823175325,537.9566197105319,506.5617750673681,450.5332279000763,480.93792591158115,450.71085872971054,120.99740432434018,122.11176701226455,124.87609370105557,27.721654453036635,27.74921124398531,27.52021664350196,188.95023146077608,179.91204545243647,185.7376840300082,191.63689843351273,183.70960689492406,188.6140611850548,123.93122058203389,116.39144013111901,120.45545791956535,125.47749836366975,117.88749806086729,122.76472445289009,18.93576892338114,18.949933496272592,23.14740779911103,8.404455189196584,8.49676853135557,8.409058951272051,22.266280310443662,22.406211679161125,22.28432579507457,123.03917142888615,122.32985227201237,123.29968624054969,52.38463351225952,50.389978255686685,52.41273540939552,48.127884388173044,51.58648239705628,41.987669657351354,40.02935868110928,43.39671144244875,33.694480638769576,44.984522031505996,46.23362707688136,45.89107306645254,8.037947006225132e-08,8.086970126840584e-08,7.951544416472118e-08
N0005,0.5,morning,False,False,True,1182.6852003024821,1210.0237823109678,1193.6821460206577,1043.4861859818513,1062.285687153972,1054.8118389208269,1041.3082867238652,1070.4969282356622,1046.0428913799033,586.7678991754884,617.0815432341055,597.361660628154,536.5609306478593,557.3683962844619,533.3991326317572,126.49419860653383,127.31339919403128,129.00864311290076,18.709735339994182,18.723993591544065,18.701150917038238,194.79465403779975,189.05112830906398,193.97950744914854,194.7754675513227,189.52963599914574,194.2433870898775,127.91906422023466,122.44406645118065,124.97163499123377,129.12939323726533,123.70778113448357,126.99128133960045,12.759689208575779,12.873564044706667,15.663496847853018,5.691486464665325,5.719622901584282,5.6790235348932,15.046550643239994,15.031040540402469,15.019984758060408,128.16303873756112,128.93558098692213,129.28495867662957,57.23631576439169,55.780054552836475,57.385153797152526,32.60725991155202,35.06796149986162,28.457194162348525,27.18218040067669,29.406919981997895,22.885075258066166,37.16701032482043,37.52141767297494,37.673961867178484,8.261650142531832e-08,8.271138929976438e-08,8.19829678374023e-08
N0006,0.5,morning,False,False,True,1178.4272130143256,1207.2269249350074,1187.7198444331484,1045.7055167281278,1066.4533108633054,1052.6433064907783,1042.9761612572213,1063.140575244088,1058.454474318295,586.3874883746895,615.6648119967823,596.0503015133324,534.9517612053011,557.0914044841574,535.6098428390916,125.9175049987352,127.04047072838321,128.98674721695306,18.851485666533605,18.811379830849187,18.708798964097067,194.8564445964359,190.14517945500842,192.54278548739816,197.02433678819315,190.11201015850122,193.8094042697835,127.08307273802387,122.85752734373517,125.86242843355019,129.12140603780728,123.8015710598419,126.08957947712635,12.830986569711847,12.78312664857018,15.574077017788989,5.675406136249659,5.756082656540882,5.7350180502822266,15.021374670245484,14.986943592530073,14.956590438710787,129.04865327926802,127.97095463317105,128.4170897191966,57.01056443770454,55.77313228139304,57.28972370107703,32.65477616466722,34.98291030744266,28.557488099840686,27.055320983219726,29.43422867665388,22.832418466797257,37.13551508339104,37.42029831549573,37.672373962186356,8.21635299966683e-08,8.315894852340636e-08,8.167141559785899e-08
N0007,0.2,overnight,False,False,True,1295.9157965738314,1302.9228129140688,1299.498875973209,1154.7812630895214,1154.455620607291,1156.7589496226426,1148.1294456217538,1164.490465061386,1161.5458188488053,681.8164915203607,689.6716531697315,679.9090568160502,614.6675647503681,625.658411812276,617.8387403434874,131.5629777225129,131.46811033583379,132.81505735265927,7.79641914831171,7.818890649066185,7.794747070381954,199.18926900813702,197.56006194876642,198.62535264824675,198.49118126684135,197.104979245457,197.55365628678953,130.75293501456508,129.57899065431403,130.4683356641714,131.95562381512406,130.02913134790305,130.71275690136574,5.10132693526865,5.170986569966119,6.243752062336206,2.2603808342264737,2.3176214958536496,2.2689923263753986,6.230569401374079,6.236556958363835,6.252744932756532,135.30701290875615,134.73928304797445,135.01361055723385,63.650304577536545,63.13754534190668,63.50519319386905,13.007536884297519,13.964206449437459,11.410262160186742,10.830486565095761,11.756802970372211,9.108689456394275,50.55001809206215,50.505585082120675,50.119014795395444,8.503610525843708e-08,8.554487085831702e-08,8.523083917096292e-08
N0008,0.5,morning,False,False,True,1179.339991698109,1204.4575611234993,1195.4477834178222,1037.0147623027494,1068.109436734839,1054.0589582047207,1037.0213676486374,1072.3524457853036,1050.4523209954832,587.2025683103063,615.7955770503276,602.4640324935925,536.8388184352307,553.7972564898995,532.4801764873596,126.25599297689648,126.88763945407055,128.4370683935196,18.71816736899349,18.68097505284537,18.761055832268486,195.57879981226935,191.00048587474964,192.91100761918347,196.05091748508914,189.90219297409843,194.72555288234338,128.0888210198473,123.38208471663819,125.02044013609927,129.34191938119403,123.625991353687,126.17859669433282,12.822514672028872,12.859386641679412,15.67825478027175,5.673798422114695,5.718160936776085,5.714345235594591,15.069738758672086,15.071497342954164,14.986027062150633,128.94419360693067,128.27715764200005,129.11147028288894,57.06002872117078,55.783890398667246,56.91078097690619,32.778150422952564,34.94485879251927,28.42991827729208,27.169915807464573,29.380520026553388,22.770169557681502,37.296043529509674,37.36169741335147,37.839639274542186,8.22929163215868e-08,8.267466968076262e-08,8.185299136863678e-08
N0009,0.75,afternoon,False,True,True,1078.583818120885,1110.901377694673,1087.718809037473,934.0353936893802,967.9048676670146,943.6464845184399,929.3427984439589,974.4362940343211,952.9617574567416,496.2691683980786,540.6440561384243,509.177437876298,450.6280406197742,478.5598879304418,451.04792820987745,122.22511486521194,121.98285886038475,125.36226193919354,27.67437282289316,27.876046324214865,27.795486029726035,190.14757872524783,179.8204383082801,184.6078277680457,191.8567545839985,183.36610359126,189.17192864921628,123.6147472248938,115.9869780788856,120.49674986706594,125.42654434108759,118.9030899912247,122.9661956492694,18.82769027089032,19.056039522087534,23.216216704569252,8.435771466208864,8.443113052265668,8.386016049928111,22.2859022121686,22.150559010867976,22.2889573913402,122.89394881644434,122.23499481179489,124.17154293859993,52.076332150040756,50.14426805943218,52.531499874392324,48.37966373091806,51.55352870878525,42.180347621875576,39.95954088255224,43.22956331574886,33.8308352207563,45.277752515284014,46.41293224305683,45.82118624830416,8.015095930604019e-08,8.098187747072851e-08,8.007987407945902e-08
N0010,0.5,morning,False,False,True,1185.0755638912315,1208.0663880551228,1193.7130072429925,1039.642644306663,1067.7231143207985,1053.4034986127058,1042.7416654387164,1068.2848615541477,1056.7492279192784,589.8722080053329,616.7543507592451,593.4700970887046,536.3865938322294,555.34459334605,535.5664055869017,126.59218910787688,126.69600848911796,129.2371616892021,18.7990783373888,18.887522661887175,18.74447190289495,195.5093543109354,190.74806672940522,192.97604519744735,194.99715263237147,190.72981555561623,192.87171342536936,127.80755264630847,122.3856947227981,125.80827893857241,128.57481484279538,123.5815647594322,125.70549859955949,12.802452031224705,12.907230883547307,15.718762036469524,5.653609170990687,5.7165451904560864,5.670628775280964,15.134115708411253,15.037046361690296,15.01272039148364,128.17794985766085,128.09767787892193,129.20889373523573,57.48474575125171,55.562772737338925,57.52642112605759,32.77188998932377,34.83675155678374,28.502154220114516,27.062447300664097,29.292297620789856,22.943711267287274,36.99054799410784,37.40315215377553,37.6080143714095,8.23738231861622e-08,8.319463243605093e-08,8.156715267575534e-08
