model,accuracy,f1_weighted,f1_1,f1_2,f1_3,f1_4,f1_5,f1_6,f1_7,f1_8,f1_9,f1_10,f1_11,f1_12,f1_13,f1_14,f1_15,f1_16,f1_17,f1_18,f1_19,f1_20
Random Forest,0.5794701986754967,0.5810024103458383,1.0,0.0,0.4,0.4,0.0,0.4166666666666667,0.8461538461538461,0.23076923076923078,0.2222222222222222,0.9473684210526315,0.8085106382978723,0.55,0.7692307692307693,0.7,0.7222222222222222,0.24390243902439024,0.18867924528301888,0.9523809523809523,0.6382978723404256,0.6341463414634146
SVM (RBF),0.3443708609271523,0.3510410807418304,1.0,0.0,0.2857142857142857,0.4,0.0,0.4,0.42105263157894735,0.19047619047619047,0.125,0.47368421052631576,0.38461538461538464,0.34146341463414637,0.631578947368421,0.41025641025641024,0.3783783783783784,0.2727272727272727,0.17777777777777778,0.7894736842105263,0.18604651162790697,0.12244897959183673
