fault_bus,fault_type,fault_R_ohm,Va_mag_pu,Va_ang_deg,Vb_mag_pu,Vb_ang_deg,Vc_mag_pu,Vc_ang_deg,Ia_mag_A,Ia_ang_deg,Ib_mag_A,Ib_ang_deg,Ic_mag_A,Ic_ang_deg
318412,SLG,0,0.125494,-116.711,1.03627,-151.5,1.034636,88.7356,4.2398,-144.1734,29.6883,-179.2527,39.6803,61.306
318412,SLG,10,1.027757,-31.3239,1.032577,-150.9841,1.025021,88.9002,33.5721,-58.834,29.7896,-178.726,40.041,61.4933
318412,SLG,20,1.027763,-31.301,1.03258,-150.9841,1.025019,88.9,33.5719,-58.8111,29.7896,-178.726,40.0411,61.4932
318412,SLG,30,1.027765,-31.2934,1.03258,-150.984,1.025018,88.8999,33.5718,-58.8035,29.7896,-178.726,40.0411,61.4931
318412,SLG,40,1.027766,-31.2895,1.032581,-150.984,1.025018,88.8999,33.5718,-58.7996,29.7895,-178.726,40.0412,61.4931
318412,LL,0,0.119637,-113.4039,0.132616,123.5943,1.0352,88.4047,4.0421,-140.8656,4.0139,95.9241,39.6609,60.974
318412,LL,10,1.02776,-31.3236,1.032563,-151.03,1.025018,88.9002,33.572,-58.8337,29.79,-178.7718,40.0412,61.4934
318412,LL,20,1.027765,-31.3009,1.032573,-151.007,1.025017,88.9,33.5718,-58.8109,29.7898,-178.7489,40.0412,61.4932
318412,LL,30,1.027766,-31.2933,1.032576,-150.9993,1.025017,88.9,33.5718,-58.8034,29.7897,-178.7412,40.0412,61.4931
318412,LL,40,1.027767,-31.2895,1.032577,-150.9955,1.025017,88.8999,33.5718,-58.7996,29.7896,-178.7374,40.0412,61.4931
318412,3LG,0,0.128461,-113.4584,0.129081,126.8404,0.128118,6.7355,4.3402,-140.9234,3.9072,99.1711,5.1661,-20.6339
318412,3LG,10,1.027755,-31.3237,1.032568,-151.0296,1.025003,88.8542,33.5721,-58.8338,29.7899,-178.7715,40.0417,61.4474
318412,3LG,20,1.027762,-31.3009,1.032575,-151.0068,1.02501,88.877,33.5719,-58.811,29.7897,-178.7487,40.0415,61.4702
318412,3LG,30,1.027765,-31.2933,1.032577,-150.9992,1.025012,88.8846,33.5718,-58.8034,29.7896,-178.7411,40.0414,61.4778
318412,3LG,40,1.027766,-31.2895,1.032579,-150.9954,1.025013,88.8884,33.5718,-58.7996,29.7896,-178.7373,40.0413,61.4816
243937,SLG,0,0.00661,83.7725,1.323118,173.2848,1.725061,102.7239,0.2233,56.1803,36.4513,145.469,63.2852,75.2378
243937,SLG,10,1.021151,-31.4324,1.034885,-151.2412,1.027974,89.1416,33.7826,-58.925,29.7261,-178.99,39.9295,61.7279
243937,SLG,20,1.024451,-31.3554,1.033737,-151.1131,1.026495,89.0214,33.6771,-58.8567,29.7577,-178.8584,39.9853,61.6111
243937,SLG,30,1.025555,-31.3297,1.033353,-151.0702,1.026002,88.981,33.6419,-58.8339,29.7682,-178.8144,40.0039,61.5719
243937,SLG,40,1.026108,-31.3168,1.033161,-151.0487,1.025756,88.9608,33.6244,-58.8225,29.7736,-178.7923,40.0132,61.5522
243937,LL,0,0.024436,-46.501,0.033306,99.3748,1.471795,83.6733,0.8259,-73.9687,1.0079,71.6979,53.9938,56.1873
243937,LL,10,1.024089,-31.1919,1.028314,-151.3931,1.03023,88.8854,33.6886,-58.6923,29.9078,-179.1225,39.8447,61.4665
243937,LL,20,1.025917,-31.2346,1.03044,-151.1892,1.027638,88.8927,33.6304,-58.7398,29.8487,-178.9248,39.9421,61.4798
243937,LL,30,1.026532,-31.249,1.031152,-151.1209,1.026767,88.8951,33.6109,-58.7558,29.829,-178.8586,39.975,61.4842
243937,LL,40,1.02684,-31.2562,1.031509,-151.0868,1.026331,88.8963,33.6011,-58.7638,29.8191,-178.8255,39.9915,61.4864
243937,3LG,0,0.031969,-96.3867,0.032108,143.9129,0.031874,23.7912,1.0801,-123.8518,0.9719,116.2436,1.2853,-3.5783
243937,3LG,10,1.026391,-31.4474,1.031204,-151.1527,1.023632,88.7306,33.6154,-58.9539,29.8276,-178.8905,40.0938,61.3269
