fault_bus,fault_type,fault_R_ohm,Va_mag_pu,Va_ang_deg,Vb_mag_pu,Vb_ang_deg,Vc_mag_pu,Vc_ang_deg,Ia_mag_A,Ia_ang_deg,Ib_mag_A,Ib_ang_deg,Ic_mag_A,Ic_ang_deg
318412,SLG,0,0.130881,-112.1706,1.047497,-150.0345,1.046718,89.6488,942364.6143,-112.1675,237.6247,-139.2271,237.9365,70.9525
318412,SLG,10,1.048695,-30.25,1.048716,-150.204,1.048715,89.7961,1028.2584,-35.3085,250.4929,-167.418,279.8634,71.4019
318412,SLG,20,1.048701,-30.2272,1.048717,-150.204,1.048714,89.7962,653.0488,-38.2116,250.4978,-167.4112,279.872,71.4065
318412,SLG,30,1.048703,-30.2197,1.048718,-150.204,1.048714,89.7962,528.7143,-40.1003,250.4992,-167.4089,279.8748,71.4081
318412,SLG,40,1.048704,-30.2159,1.048718,-150.204,1.048714,89.7962,466.8507,-41.4226,250.5002,-167.4077,279.8763,71.4088
318412,LL,0,0.130627,-112.3166,0.130724,127.9993,1.045413,89.8186,940565.8371,-112.3171,941157.2967,128.0026,219.4287,85.8631
318412,LL,10,1.048696,-30.2501,1.048703,-150.2494,1.048713,89.7961,1028.2331,-35.3108,997.1055,-154.508,279.8544,71.3895
318412,LL,20,1.048702,-30.2273,1.048711,-150.2267,1.048713,89.7961,653.0369,-38.2134,621.2588,-157.0732,279.8675,71.4003
318412,LL,30,1.048704,-30.2197,1.048713,-150.2191,1.048713,89.7962,528.7067,-40.1018,496.5412,-158.7975,279.8719,71.4039
318412,LL,40,1.048705,-30.2159,1.048715,-150.2153,1.048713,89.7962,466.8453,-41.424,434.4255,-160.0321,279.874,71.4058
318412,3LG,0,0.130468,-112.1464,0.130468,127.8535,0.130468,7.8536,939344.4378,-112.1467,939341.7793,127.8534,939345.6362,7.8533
318412,3LG,10,1.048694,-30.2501,1.048705,-150.2495,1.0487,89.7506,1028.2087,-35.3141,997.0795,-154.5104,1024.4268,84.8072
318412,3LG,20,1.048701,-30.2273,1.048712,-150.2267,1.048707,89.7734,653.0268,-38.216,621.2464,-157.0751,649.1384,81.9575
318412,3LG,30,1.048703,-30.2197,1.048714,-150.2191,1.048709,89.781,528.7008,-40.104,496.5332,-158.7991,524.7492,80.0964
318412,3LG,40,1.048704,-30.2159,1.048715,-150.2153,1.04871,89.7848,466.8412,-41.4258,434.4198,-160.0334,462.8481,78.7899
243937,SLG,0,1.006403,-36.6371,1.048333,-150.2043,1.048989,89.7745,111425.427,-52.6724,292.3984,-162.4437,292.6201,93.5356
243937,SLG,10,1.048691,-30.2497,1.048716,-150.204,1.048716,89.7961,1023.8812,-35.4917,250.5153,-167.4859,279.4164,71.4919
243937,SLG,20,1.0487,-30.2272,1.048717,-150.204,1.048715,89.7962,652.0429,-38.3223,250.5088,-167.4452,279.6482,71.4517
243937,SLG,30,1.048703,-30.2196,1.048718,-150.204,1.048714,89.7962,528.3125,-40.181,250.5066,-167.4316,279.7256,71.4383
243937,SLG,40,1.048704,-30.2159,1.048718,-150.204,1.048714,89.7962,466.6517,-41.4864,250.5056,-167.4248,279.7643,71.4315
