fault_bus,fault_type,fault_R_ohm,Va_mag_pu,Va_ang_deg,Vb_mag_pu,Vb_ang_deg,Vc_mag_pu,Vc_ang_deg,Ia_mag_A,Ia_ang_deg,Ib_mag_A,Ib_ang_deg,Ic_mag_A,Ic_ang_deg
318412,SLG,0,0.124947,-118.0596,1.036124,-151.8463,1.034619,88.5886,0.0,-28.0542,0.0,-61.8476,0.0,178.5819
318412,SLG,10,1.026219,-31.5527,1.030775,-151.201,1.023082,88.6616,0.0,58.4521,0.0,-61.2171,0.0,178.6826
318412,SLG,20,1.026225,-31.5297,1.030777,-151.201,1.02308,88.6614,0.0,58.4636,0.0,-61.2138,0.0,178.6591
318412,SLG,30,1.026227,-31.5221,1.030778,-151.201,1.023079,88.6613,0.0,58.4792,0.0,-61.2267,0.0,178.6472
318412,SLG,40,1.026228,-31.5182,1.030778,-151.201,1.023079,88.6613,0.0,58.4883,0.0,-61.1939,0.0,178.671
318412,LL,0,0.117172,-114.0078,0.134183,122.6831,1.036143,88.1375,0.0,-24.0194,0.0,-147.3321,0.0,178.1578
318412,LL,10,1.026222,-31.5523,1.030761,-151.247,1.023078,88.6616,0.0,58.4592,0.0,-61.2266,0.0,178.6708
318412,LL,20,1.026227,-31.5295,1.03077,-151.224,1.023078,88.6614,0.0,58.4523,0.0,-61.2378,0.0,178.6591
318412,LL,30,1.026228,-31.5219,1.030773,-151.2163,1.023078,88.6613,0.0,58.4828,0.0,-61.1987,0.0,178.6592
318412,LL,40,1.026229,-31.5181,1.030775,-151.2125,1.023078,88.6613,0.0,58.4843,0.0,-61.186,0.0,178.6828
318412,3LG,0,0.128356,-113.6958,0.12894,126.6135,0.127961,6.4891,0.0,-23.6804,0.0,-143.3915,0.0,96.4695
318412,3LG,10,1.026217,-31.5524,1.030765,-151.2466,1.023063,88.6155,0.0,58.4579,0.0,-61.2586,0.0,178.6243
318412,3LG,20,1.026224,-31.5295,1.030772,-151.2238,1.023071,88.6383,0.0,58.4596,0.0,-61.248,0.0,178.6475
318412,3LG,30,1.026227,-31.5219,1.030774,-151.2162,1.023073,88.6459,0.0,58.4936,0.0,-61.2222,0.0,178.659
318412,3LG,40,1.026228,-31.5181,1.030776,-151.2124,1.023074,88.6497,0.0,58.4722,0.0,-61.2226,0.0,178.6476
243937,SLG,0,0.011567,102.8699,1.324813,172.8491,1.728462,102.5359,0.0,-167.1108,0.0,-97.1613,0.0,-167.4487
243937,SLG,10,1.019568,-31.6626,1.033104,-151.4598,1.02605,88.9056,0.0,58.3524,0.0,-61.4597,0.0,178.9186
243937,SLG,20,1.022891,-31.5849,1.031945,-151.3309,1.024563,88.784,0.0,58.4267,0.0,-61.3317,0.0,178.7889
243937,SLG,30,1.024002,-31.5589,1.031558,-151.2877,1.024068,88.7432,0.0,58.4565,0.0,-61.2993,0.0,178.7305
243937,SLG,40,1.024559,-31.5459,1.031363,-151.266,1.02382,88.7227,0.0,58.4372,0.0,-61.2779,0.0,178.7073
243937,LL,0,0.022581,-38.913,0.036674,96.9052,1.472649,83.3732,0.0,50.9833,0.0,-173.3139,0.0,173.3753
243937,LL,10,1.02252,-31.4196,1.026489,-151.6132,1.028329,88.6479,0.0,58.5936,0.0,-61.6489,0.0,178.6656
243937,LL,20,1.024364,-31.4627,1.028626,-151.4077,1.025718,88.6546,0.0,58.5257,0.0,-61.43,0.0,178.6274
243937,LL,30,1.024984,-31.4773,1.029342,-151.3389,1.024841,88.6568,0.0,58.5167,0.0,-61.357,0.0,178.6495
243937,LL,40,1.025295,-31.4846,1.0297,-151.3045,1.024402,88.6579,0.0,58.5025,0.0,-61.3462,0.0,178.6617
243937,3LG,0,0.031943,-96.6241,0.032073,143.6861,0.031835,23.5446,0.0,-6.629,0.0,-126.3095,0.0,113.5142
243937,3LG,10,1.024846,-31.6766,1.029393,-151.3701,1.021685,88.4913,0.0,58.3065,0.0,-61.3758,0.0,178.4824
243937,3LG,20,1.025539,-31.5917,1.030087,-151.2856,1.022382,88.5762,0.0,58.4194,0.0,-61.2989,0.0,178.5648
243937,3LG,30,1.02577,-31.5634,1.030318,-151.2574,1.022614,88.6045,0.0,58.4371,0.0,-61.2556,0.0,178.6001
243937,3LG,40,1.025886,-31.5492,1.030433,-151.2433,1.02273,88.6186,0.0,58.4372,0.0,-61.2451,0.0,178.6234
157347,SLG,0,0.400154,-24.0386,1.08506,-170.017,1.339666,95.553,0.0,65.9705,0.0,-80.0099,0.0,-174.4347
157347,SLG,10,1.017679,-31.9955,1.035793,-151.4295,1.024251,89.0208,0.0,58.0046,0.0,-61.4404,0.0,179.0218
157347,SLG,20,1.021954,-31.7532,1.033314,-151.3151,1.023639,88.8424,0.0,58.2507,0.0,-61.3,0.0,178.8464
157347,SLG,30,1.023379,-31.6715,1.032475,-151.2771,1.023446,88.7823,0.0,58.3192,0.0,-61.2696,0.0,178.7645
157347,SLG,40,1.024092,-31.6305,1.032054,-151.258,1.023352,88.7521,0.0,58.3708,0.0,-61.2833,0.0,178.7527
157347,LL,0,0.502206,-33.1661,0.337705,-163.1713,1.246512,83.3697,0.0,56.8308,0.0,-73.1638,0.0,173.3735
157347,LL,10,1.018852,-31.6353,1.027245,-151.9147,1.029227,88.7909,0.0,58.377,0.0,-61.9403,0.0,178.8065
157347,LL,20,1.022501,-31.5724,1.029045,-151.5601,1.02617,88.7285,0.0,58.4315,0.0,-61.5465,0.0,178.7098
157347,LL,30,1.023735,-31.5508,1.02963,-151.4409,1.025143,88.7066,0.0,58.4557,0.0,-61.4206,0.0,178.7085
157347,LL,40,1.024356,-31.5399,1.02992,-151.3811,1.024628,88.6954,0.0,58.4849,0.0,-61.3853,0.0,178.7078
157347,3LG,0,0.441984,-43.5369,0.443797,-163.2347,0.440544,76.6304,0.0,46.4853,0.0,-73.2312,0.0,166.637
157347,3LG,10,1.023836,-31.864,1.028387,-151.5575,1.02068,88.3039,0.0,58.1465,0.0,-61.5476,0.0,178.3167
157347,3LG,20,1.025042,-31.6859,1.029591,-151.3798,1.021887,88.482,0.0,58.3089,0.0,-61.4009,0.0,178.4708
157347,3LG,30,1.02544,-31.6263,1.029989,-151.3203,1.022286,88.5416,0.0,58.3703,0.0,-61.3194,0.0,178.5527
157347,3LG,40,1.025639,-31.5965,1.030187,-151.2905,1.022484,88.5714,0.0,58.4065,0.0,-61.2867,0.0,178.5883
298162,SLG,0,0.015742,131.5097,1.222232,-172.8515,1.39664,101.2504,0.0,-138.5868,0.0,-82.848,0.0,-168.7705
298162,SLG,10,1.009924,-32.9786,1.04336,-151.427,1.020528,89.3896,0.0,57.0486,0.0,-61.4353,0.0,179.3803
298162,SLG,20,1.018101,-32.2481,1.037143,-151.311,1.021688,89.0268,0.0,57.7403,0.0,-61.3431,0.0,179.0193
298162,SLG,30,1.020817,-32.0021,1.035038,-151.2737,1.022125,88.9052,0.0,58.0185,0.0,-61.2596,0.0,178.9028
298162,SLG,40,1.022172,-31.8787,1.03398,-151.2552,1.022353,88.8443,0.0,58.1226,0.0,-61.2586,0.0,178.8563
298162,LL,0,0.0093,45.4609,0.016539,77.9835,1.344096,85.4,0.0,135.511,0.0,167.8423,0.0,175.3985
298162,LL,10,1.00727,-32.2445,1.02694,-152.8871,1.033114,89.1539,0.0,57.7648,0.0,-62.8978,0.0,179.1569
298162,LL,20,1.016647,-31.8819,1.028992,-152.0489,1.028077,88.9162,0.0,58.1128,0.0,-62.0742,0.0,178.9093
298162,LL,30,1.019819,-31.7583,1.029618,-151.7673,1.026406,88.8331,0.0,58.2577,0.0,-61.7871,0.0,178.8373
298162,LL,40,1.021414,-31.6959,1.02992,-151.6261,1.025572,88.7909,0.0,58.2938,0.0,-61.6474,0.0,178.7904
298162,3LG,0,0.005799,-102.1587,0.005817,138.0874,0.005781,17.9649,0.0,-12.1315,0.0,-131.9214,0.0,107.9302
298162,3LG,10,1.019735,-32.4724,1.024319,-152.1672,1.01662,87.6957,0.0,57.5333,0.0,-62.1713,0.0,177.6998
298162,3LG,20,1.023011,-31.9909,1.027578,-151.6855,1.019878,88.1771,0.0,58.0082,0.0,-61.672,0.0,178.1756
