fault_bus,fault_type,fault_R_ohm,Va_mag_pu,Va_ang_deg,Vb_mag_pu,Vb_ang_deg,Vc_mag_pu,Vc_ang_deg,Ia_mag_A,Ia_ang_deg,Ib_mag_A,Ib_ang_deg,Ic_mag_A,Ic_ang_deg
318412,SLG,0,0.130565,-112.0886,1.046651,-150.0656,1.046213,89.5871,93.294,-79.6604,237.6247,-139.2272,237.9365,70.9526
318412,SLG,10,1.047752,-30.289,1.048246,-150.2431,1.048026,89.7734,284.0954,-48.8607,250.4928,-167.4181,279.8634,71.4019
318412,SLG,20,1.047758,-30.2663,1.048248,-150.2431,1.048024,89.7734,284.0807,-48.8485,250.4977,-167.4112,279.872,71.4065
318412,SLG,30,1.04776,-30.2587,1.048248,-150.2431,1.048024,89.7734,284.0758,-48.8444,250.4994,-167.4089,279.8748,71.4081
318412,SLG,40,1.047761,-30.2549,1.048248,-150.2431,1.048024,89.7734,284.0733,-48.8424,250.5002,-167.4078,279.8763,71.4088
318412,LL,0,0.130792,-112.1597,0.130117,127.9569,1.04438,89.7582,111.0733,-116.0628,55.3482,-140.7596,219.4287,85.8631
318412,LL,10,1.047754,-30.2891,1.048233,-150.2886,1.048022,89.7733,284.0788,-48.8699,250.5245,-167.44,279.8544,71.3895
318412,LL,20,1.047759,-30.2663,1.048241,-150.2658,1.048023,89.7734,284.0724,-48.8531,250.5135,-167.4221,279.8675,71.4004
318412,LL,30,1.047761,-30.2587,1.048244,-150.2583,1.048023,89.7734,284.0702,-48.8475,250.5099,-167.4162,279.8718,71.404
318412,LL,40,1.047762,-30.2549,1.048245,-150.2545,1.048023,89.7734,284.0692,-48.8447,250.5081,-167.4132,279.874,71.4058
318412,3LG,0,0.130368,-112.1914,0.130429,127.8077,0.130402,7.8253,34.4812,-119.5779,30.5143,123.4146,33.8453,0.6819
318412,3LG,10,1.047751,-30.2891,1.048236,-150.2887,1.04801,89.7279,284.0704,-48.8822,250.5065,-167.4502,279.8849,71.3653
